matchNum,scoreDiff,rpDiff,autoDiff,lastFive,linkPoints,endgamePoints,bluewin,eventNum
94,-8.71,0.15,-10.14,-0.0,-8.59,-1.72,1,2
95,0.72,-1.14,12.29,-2.0,-0.72,-0.28,1,2
96,51.98,2.86,4.16,1.0,11.43,14.01,1,2
97,-42.56,-2.85,3.15,-5.0,-12.85,0.86,0,2
98,14.29,0.85,9.42,-2.0,-6.42,7.71,1,2
99,39.01,1.14,1.57,0.0,15.71,-3.42,1,2
100,41.14,1.12,11.73,1.0,12.86,-1.71,0,2
101,13.01,1.13,4.15,4.0,2.13,4.3,0,2
102,16.43,1.15,1.28,0.0,7.85,8.01,1,2
103,8.0,-0.71,19.59,1.0,-2.85,-6.86,0,2
104,-27.43,0.01,-9.15,1.0,-12.85,4.28,1,2
105,-22.35,-1.0,6.74,-0.0,-2.51,-10.25,1,2
106,-7.74,1.26,-7.25,4.0,-3.74,-2.0,0,2
107,17.76,0.75,6.25,3.0,7.51,-4.0,1,2
108,-33.87,-0.23,-14.11,0.0,-8.76,3.0,0,2
109,-4.37,-0.86,-1.23,1.0,2.5,0.5,1,2
110,7.87,0.13,-6.5,2.0,3.1,-5.75,1,2
111,38.87,2.63,11.38,2.0,10.0,9.5,1,2
112,-21.63,-1.76,8.13,-5.0,-7.5,-14.52,0,2
113,-13.24,0.14,-9.25,1.0,-7.49,1.25,0,2
114,-53.12,-2.76,-13.62,-1.0,-14.38,-2.01,0,2
115,20.65,0.99,2.61,1.0,9.36,4.01,1,2
116,14.38,1.38,13.26,1.0,1.24,-3.24,0,2
117,52.61,1.74,10.36,-0.0,13.75,10.5,1,2
118,-16.0,0.22,2.78,2.0,-11.68,4.45,1,2
119,18.67,0.32,1.34,-1.0,2.76,-3.79,0,2
120,32.78,2.11,3.66,3.0,7.79,1.55,0,2
121,-55.33,-2.43,-4.44,-2.0,-13.9,-7.33,0,2
122,-8.9,-0.22,2.12,1.0,-6.12,1.55,1,2
123,-84.14,-1.97,-20.68,-4.0,-27.78,6.42,0,2
124,33.64,1.33,1.79,0.0,12.76,2.21,1,2
125,24.58,1.67,3.33,4.0,5.55,8.66,1,2
126,67.67,1.56,12.45,0.0,13.31,10.65,1,2
127,-39.22,-2.45,-9.55,-3.0,-11.67,0.45,0,2
128,4.34,-0.78,3.55,-3.0,2.77,-6.44,1,2
129,6.88,1.22,10.22,1.0,3.87,-16.0,1,2
